"topic_id","current_stage","overall_status","research_approval","topic_approval","deep_research_approval","content_approval","seo_approval","publication_approval","last_updated","notes"
"TOPIC-351","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.974Z","Deep research ready. Awaiting manual approval."
"TOPIC-352","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.980Z","Deep research ready. Awaiting manual approval."
"TOPIC-353","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.984Z","Deep research ready. Awaiting manual approval."
"TOPIC-355","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.988Z","Deep research ready. Awaiting manual approval."
"TOPIC-356","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.992Z","Deep research ready. Awaiting manual approval."
"TOPIC-357","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:01.996Z","Deep research ready. Awaiting manual approval."
"TOPIC-358","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:02.000Z","Deep research ready. Awaiting manual approval."
"TOPIC-359","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:02.004Z","Deep research ready. Awaiting manual approval."
"TOPIC-360","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:02.008Z","Deep research ready. Awaiting manual approval."
"TOPIC-361","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:02.012Z","Deep research ready. Awaiting manual approval."
"TOPIC-362","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:02.015Z","Deep research ready. Awaiting manual approval."
"TOPIC-365","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:02.019Z","Deep research ready. Awaiting manual approval."
"TOPIC-367","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-12T19:13:02.023Z","Deep research ready. Awaiting manual approval."
"RESEARCH-BATCH-2025-10-13","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-13T09:56:34.998Z","Generated 4 content gaps using real Google data"
"TOPICS-BATCH-2025-10-13","Topic Generation","Topics Generated","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-13T08:20:08.417Z","Generated 50 strategic topics from 95 approved gaps"
"TOPIC-369","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-13T04:37:06.514Z","Published to WordPress/Sanity."
"TOPIC-469","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-13T08:03:14.797Z","Published to WordPress/Sanity."
"TOPIC-545","Content Creation","Content Drafted","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-16T13:37:08.781Z","Draft ready for SEO optimization"
"RESEARCH-BATCH-2025-10-16","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-16T14:03:45.424Z","Generated 4 content gaps using real Google data"
"TOPICS-BATCH-2025-10-16","Topic Generation","Topics Generated","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-16T14:07:21.502Z","Generated 50 strategic topics from 112 approved gaps"
"TOPIC-645","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-16T14:09:36.029Z","Published to WordPress/Sanity."
"RESEARCH-BATCH-2025-10-17","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-17T10:38:41.497Z","Generated 4 content gaps using real Google data"
"TOPICS-BATCH-2025-10-17","Topic Generation","Topics Generated","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-17T10:39:20.863Z","Generated 45 strategic topics from 116 approved gaps"
"RESEARCH-BATCH-2025-10-23","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-23T16:10:04.214Z","Generated 2 content gaps using real Google data"
"TOPICS-BATCH-2025-10-23","Topic Generation","Topics Generated","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-23T16:10:52.065Z","Generated 50 strategic topics from 121 approved gaps"
"TOPIC-790","Publication","Content Published","Not Started","Not Started","Not Started","Pending","Approved","Published","2025-10-23T16:58:25.313Z","Published to WordPress/Sanity."
"TOPIC-840","Deep Topic Research","Deep Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-23T16:11:33.944Z","Deep research ready. Awaiting manual approval."
"RESEARCH-BATCH-2025-10-27","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-10-27T09:07:52.129Z","Generated 10 content gaps using real Google data"
"RESEARCH-BATCH-2025-11-18","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-11-18T19:20:01.438Z","Generated 10 content gaps using real Google data"
"TOPICS-BATCH-2025-11-18","Topic Generation","Topics Generated","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2025-11-18T12:55:23.244Z","Generated 40 strategic topics from 132 approved gaps"
"CUSTOM-TITLE-1763905388240","Content Creation","Content Drafted","Not Started","Not Started","Not Started","Pending","Not Started","Not Started","2025-11-23T13:46:11.319Z","Draft ready for SEO optimization"
"RESEARCH-BATCH-2026-01-13","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2026-01-13T19:07:18.581Z","Generated 10 content gaps using real Google data"
"RESEARCH-BATCH-2026-01-14","Master SEO Research","Research Completed","Not Started","Not Started","Not Started","Not Started","Not Started","Not Started","2026-01-14T07:01:37.384Z","Generated 6 content gaps using real Google data"
